,player_id,team_name,player,vaep_value,count,minutes_played,vaep_rating
64,15648,Germany Women's,Melanie Leupolz,1.321402754430892,280,215,0.5531453390640944
66,10398,Italy Women's,Valentina Cernoia,1.3028556508795592,384,475,0.2468568601666533
67,25446,France Women's,Marion Torrent,1.284477851324482,421,390,0.2964179656902651
68,25486,China PR Women's,Liu Shanshan,1.280724718264537,359,376,0.3065564485207668
69,10228,Italy Women's,Manuela Giugliano,1.277707466574153,422,475,0.2420919410351027
70,25513,Spain Women's,Lucía García,1.2582155988606392,234,268,0.42253508916961763
71,25491,Germany Women's,Marina Hegering,1.2130702181602828,587,471,0.23179685697330246
72,10165,Spain Women's,Irene Paredes Hernandez,1.2023154487542342,459,380,0.2847589220733713
73,25480,China PR Women's,Wu Haiyan,1.1932956228847615,316,376,0.2856292714351823
74,25636,Japan Women's,Aya Sameshima,1.1849592075741384,507,374,0.2851506114483221
75,10229,Sweden Women's,Stina Blackstenius,1.1680352712137392,262,554,0.1897530223993439
76,15616,Scotland Women's,Kim Little,1.1679304572121474,250,281,0.3740702531996202
77,15249,France Women's,Amel Majri,1.1543914893791083,648,479,0.2169002798415861
78,25611,Argentina Women's,Vanina Noemí Correa,1.152201842996874,115,282,0.36772399244581083
79,5066,Australia Women's,Lydia Williams,1.1416650561441202,241,408,0.2518378800317912
80,15180,Canada Women's,Sophie Schmidt,1.1350427326833596,545,377,0.27096510859814954
81,10211,Italy Women's,Barbara Bonansea,1.1167294330516597,278,409,0.2457350830676024
82,25541,Italy Women's,Valentina Giacinti,1.0884400253125932,143,294,0.33319592611609994
83,25515,South Africa Women's,Andile Dlamini,1.0824572207930032,156,189,0.5154558194252397
84,25672,Thailand Women's,Kanjana Sungngoen,1.0783107523602666,189,283,0.342925680962629
85,4948,New Zealand Women's,Rosie White,1.075516128432355,181,261,0.37086763049391547
86,25488,China PR Women's,Gu Yasha,1.06741331573145,243,288,0.33356666116607814
88,10371,Italy Women's,Elisa Bartoli,1.0501308154052822,291,355,0.26623034756753633
89,5000,Australia Women's,Steph Catley,1.0297714108972578,519,408,0.2271554582861598
90,25481,China PR Women's,Han Peng,1.0293451028523268,409,376,0.24638579589550375
91,25624,Japan Women's,Risa Shimizu,1.0292477602051804,464,374,0.24767994229536427
92,10394,Norway Women's,Ingrid Hjelmseth,1.0264648481679615,301,502,0.18402756242055085
93,5100,United States Women's,Alyssa Naeher,1.020714441256132,256,670,0.1371108950941073
94,24881,Nigeria Women's,Asisat Lamina Oshoala,1.0169505127269076,152,261,0.3506725905954854
95,10650,Netherlands Women's,Jill Roord,1.0165701362533728,219,192,0.4765172513687685
96,5013,United States Women's,Tobin Heath,1.0107899490359706,434,511,0.17802562703177563
97,25537,Australia Women's,Elise Kellond-Knight,1.009211460218765,310,202,0.44964867039449924
98,10386,Norway Women's,Caroline Graham Hansen,1.0039187514610823,463,462,0.1955685879469641
99,24462,Chile Women's,Claudia Christiane Endler Mutinelli,1.003549912944436,161,286,0.31580242015734
100,10113,France Women's,Laure,1.0012477133272917,316,391,0.23046622557405688
101,25616,Cameroon Women's,Gabrielle Onguene,0.9908980113298167,262,378,0.23592809793567066
102,10172,England Women's,Louise,0.9871628482360393,696,645,0.13774365324223803
103,10221,Sweden Women's,Elin Rubensson,0.982930233454681,398,417,0.21214321585352827
104,11338,Australia Women's,Caitlin Foord,0.9803506094904151,262,349,0.2528124780920841
105,10213,Italy Women's,Alia Guagni,0.9740701950213406,419,437,0.2006094223156079
106,10646,Netherlands Women's,Sari van Veenendaal,0.9668045425205491,316,691,0.12592244403306718
107,10218,Italy Women's,Laura Giuliani,0.9578132680908311,318,475,0.18148040869089432
108,4943,Cameroon Women's,Estelle Johnson,0.9573010121384868,200,378,0.22792881241392543
109,5038,Canada Women's,Allysha Chapman,0.9546204029611545,323,261,0.3291794492969498
111,10393,Norway Women's,Kristine Minde,0.9296197980147554,394,502,0.16666490402654976
113,17312,Nigeria Women's,Rita Chikwelu,0.9219213686155854,213,289,0.28710354039931724
114,25633,Argentina Women's,Eliana Noemi Stabile,0.9187495634105289,199,282,0.29321794576931776
115,10382,Norway Women's,Ingrid Moe Wold,0.9077470139163779,416,459,0.17798961057183882
116,25476,Germany Women's,Lea Schüller,0.9072922084742459,107,202,0.4042391027855551
117,25632,Japan Women's,Yui Hasegawa,0.9041938685048372,278,199,0.4089319003288208
118,25685,Chile Women's,Yesenia López,0.891039548787754,228,183,0.438216171534961
119,10652,Netherlands Women's,Anouk Dekker,0.884394328284543,250,266,0.2992311637052965
120,25559,Brazil Women's,Tamires Cassia Dias Gomes,0.8832132880423451,527,407,0.19530514968995344
121,25613,Japan Women's,Narumi Miura,0.8806149270531023,390,313,0.25321195985552464
123,10114,France Women's,Elise Bussaglia,0.8601355131508317,408,404,0.19161434698904667
124,25548,Jamaica Women's,Konya Plummer,0.8402697956189513,244,281,0.26912555731567833
125,5037,New Zealand Women's,Abby Erceg,0.8402528340666322,182,282,0.268165798106372
126,10374,Germany Women's,Svenja Huth,0.8180974538699957,385,426,0.17283749025422443
127,10395,Norway Women's,Maren Mjelde,0.816544133485877,623,502,0.14639237452934048
128,5074,Canada Women's,Shelina Zadorsky,0.8154623209120473,520,377,0.19467270260499803
129,25490,China PR Women's,Zhang Rui,0.8129740002299659,496,376,0.19459484048057693
130,25466,Norway Women's,Vilde Bøe Risa,0.8093164335587062,558,486,0.14987341362198262
131,10155,Spain Women's,María Pilar León Cebrián,0.8080325296323281,433,380,0.1913761254392356
133,25555,Brazil Women's,Bárbara Micheline do Monte Barbosa,0.78653238491097,253,407,0.17392608020144298
134,21062,New Zealand Women's,Alexandra Riley,0.7798958954808768,281,282,0.24890294536623728
135,10666,Netherlands Women's,Dominique Bloodworth,0.7648425034130923,847,691,0.09961769219562708
136,5044,Brazil Women's,Debinha,0.7493989724331769,315,407,0.1657147604889089
137,25635,Japan Women's,Hina Sugita,0.7487039478404913,571,374,0.18016939921295244
139,25697,Sweden Women's,Lina Hurtig,0.730160600884119,242,302,0.2175975300648037
140,25462,Nigeria Women's,Chidinma Nkeruka Okeke,0.7139397496212041,278,331,0.19412259053144523
